Word 1,Word 2,Word 3,Count
RAG,ACE,GEL,1
RAM,ACE,DEW,2
RAN,ACE,DEW,2
RAP,ACE,GET,4
RAT,ACE,PEA,2
RAW,ACE,GET,2
RAY,ACE,GET,2
RED,AGE,MOW,2
REG,AGE,DOT,2
REP,AGE,DOE,2
RIB,ACE,DYE,2
RID,ACE,DEW,2
RIG,ACE,GEL,2
RIM,ACE,DEW,4
ROB,ADO,DEW,2
ROD,ADO,GET,4
ROE,ADO,MEN,2
ROT,ADO,MEN,2
ROW,ADO,DEW,2
RUB,ORE,END,4
RUE,ASK,PEE,2
RUG,USE,BET,2
RUM,USE,BET,2
RUN,USE,BET,2
RUT,ASH,PEE,2
RYE,EAR,DYE,2
SAC,ADO,COB,1
SAD,ACE,DEW,1
SAG,ACE,GEL,1
SAP,ACE,GET,4
SAT,ACE,PEA,2
SAW,ACE,GET,4
SAY,ACE,GET,4
SEA,ARC,PEE,2
SEC,AGO,COB,2
SEE,AGO,CON,2
SET,AGO,CON,4
SEW,AGE,COB,2
SHE,EAR,AGE,2
SHY,HUE,YEP,1
SIR,ACE,PEG,2
SIT,ACE,PEA,2
SKA,KEG,AGE,1
SKI,KID,ADS,2
SKY,PIE,ADS,2
SLY,AYE,GET,2
SOB,ADO,DEW,2
SOD,ADO,GET,4
SON,ADO,DEW,4
SOP,ADO,DEW,4
SOW,ADO,DEW,2
SOY,ERE,ABS,2
SPA,AID,WED,2
SPY,ERA,COP,2
STY,EWE,COP,2
SUB,ERA,AND,2
SUE,ASK,PEE,2
SUM,ERA,AND,2
SUN,ERA,ANY,2
TAB,ACE,BED,2
TAD,ACE,DEW,1
TAG,ACE,BET,2
TAN,ACE,BET,2
TAP,ACE,BEE,2
TAR,ACE,BED,2
TEA,ARC,BEE,2
THE,EAR,AGE,2
THY,HUE,YEP,1
TIE,ACE,GEL,2
TIN,ACE,BET,2
TOE,ADO,PEN,6
TON,ADO,BED,8
TOO,ADD,BED,2
TOP,ADO,BED,2
TOY,ERE,ABS,2
TRY,AYE,BET,2
TUB,ERA,AND,2
TUG,ERA,ANY,2
TWO,EAR,AGE,2
URN,ROE,NET,1
USE,REG,NAG,2
VAN,ACE,NET,1
VAT,ACE,TEA,1
VET,AGO,TOE,2
VIA,ICY,AYE,1
VIE,ERR,TEA,2
VOW,ADO,NEW,2
WAD,ACE,DEW,1
WAG,ACE,GEL,1
WAR,ACE,RED,1
WAS,ACE,DEW,3
WAY,ACE,GET,2
WEB,AGE,DOE,2
WED,AGE,ROW,4
WET,AGO,DOE,2
WHO,EAR,BYE,2
WHY,HUE,YEP,1
WIG,ACE,GEL,2
WIN,ACE,DEW,2
WIT,ACE,SEA,2
WOE,ANY,SEE,2
WOK,ERE,BEG,2
WON,ADO,DEW,3
WOW,ADO,DEW,2
WRY,AYE,GET,2
YAK,ACE,KEG,1
YAM,ACE,MEN,1
YAP,ACE,KEG,2
YAW,ACE,MET,4
YAY,ACE,MET,3
YEP,AGE,MOP,2
YES,AGE,MOW,2
YET,AGO,MOO,2
YOU,ADS,PEE,2
YUM,USE,MEN,1
YUP,USE,MEN,4
ZAP,ACE,PEA,1
ZIG,ACE,PET,2
ZIP,ACE,PEA,2
ZIT,ACE,PEA,2
ZOO,ADD,PEE,2
